ID;Calidad;Tipo;Main Stat;Substat1;Substat2;Substat3;Substat4
1;Legendario;Poder vibrante;Recepción;Bloqueo;Bloqueo;Percepción;Recepción
2;Legendario;Poder vibrante;Recepción;Colocación;Espíritu;Ataque poderoso;Recuperación
3;Legendario;Poder vibrante;Recepción;Ataque poderoso;Saque;Percepción;Bloqueo
4;Legendario;Poder vibrante;Recepción;Recepción;Saque;Fuerza;Recuperación
6;Legendario;Poder vibrante;Recepción;Bloqueo;Saque;Recepción;Recepción
8;Legendario;Poder vibrante;Recepción;Bloqueo;Ataque rápido;Ataque poderoso;
35;Legendario;Saque preciso;Recepción;Saque;Ataque rápido;Ataque poderoso;
36;Legendario;Saque preciso;Recepción;Saque;Recuperación;Saque;Recepción
38;Legendario;Pase preciso;Recepción;Recuperación;Ataque poderoso;Ataque rápido;Saque
39;Legendario;Pase preciso;Recepción;Saque;Ataque poderoso;Ataque rápido;
40;Épico;Pase preciso;Recepción;Saque;Recuperación;Colocación;Ataque rápido
63;Épico;Incremento de poder;Recepción;Ataque poderoso;Saque;;
68;Legendario;Ataque veloz;Recepción;Recepción;Saque;Ataque rápido;
69;Legendario;Sentido agudo;Recepción;Ataque rápido;Técnica defensiva;Ataque poderoso;
71;Épico;Ataque veloz;Recepción;Bloqueo;Saque;Ataque rápido;
85;Épico;Sentido agudo;Recepción;Saque;Ataque rápido;Técnica ofensiva;
86;Legendario;Movimiento de bloqueo;Recepción;Bloqueo;Recuperación;Ataque poderoso;
96;Legendario;Bloque preciso;Recepción;Bloqueo;Saque;Técnica ofensiva;Recuperación
97;Legendario;Movimiento de bloqueo;Recepción;Ataque rápido;Recuperación;Recepción;Saque
98;Legendario;Movimiento de bloqueo;Recepción;Saque;Ataque poderoso;Ataque poderoso;
99;Legendario;Movimiento de bloqueo;Recepción;Colocación;Saque;Recepción;
100;Legendario;Movimiento de bloqueo;Recepción;Bloqueo;Saque;Ataque poderoso;
108;Épico;Bloque preciso;Recepción;Ataque rápido;Bloqueo;;
109;Legendario;Recepción de asistencia;Recepción;Saque;Recepción;Saque;
130;Legendario;Recepción de asistencia;Recepción;Ataque poderoso;Recuperación;Ataque rápido;Espíritu
131;Legendario;Recepción de asistencia;Recepción;Espíritu;Colocación;Bloqueo;
132;Legendario;Recepción suprema;Recepción;Ataque poderoso;Ataque poderoso;Bloqueo;Fuerza
133;Legendario;Recepción suprema;Recepción;Fuerza;Bloqueo;Colocación;
144;Épico;Recepción de asistencia;Recepción;Recepción;Recepción;;
161;Épico;Recepción suprema;Recepción;Recuperación;Técnica defensiva;;
162;Épico;Bloque preciso;Recepción;Ataque rápido;Bloqueo;Colocación;
163;Épico;Incremento de poder;Recepción;Ataque poderoso;Percepción;;
165;Legendario;Sentido agudo;Recepción;Bloqueo;Fuerza;Recuperación;
